Id,Item no,Name,Disposal rate,Energy,Energy juel,Water,Protein,Protein with amino,Fat,Triacylglycerol,Carbohydrate,Ash,Na,K,Ca,Mg,P,Fe,Zn,Cu,Mn,I,Se,Cr,Mo,Retinol,Alpha carotene,Beta carotene,Beta cryptoxanthin,Beta carotene equivalents,Retinol equivalents,Vitamin d,Alpha tocopherol,Beta tocopherol,Gammma tocopherol,Delta tocopherol,Vitamin k,Vitamin b1,Vitamin b2,Niacin,Vitamin b6,Vitamin b12,Folic acid,Pantothenic acid,Biotin,Vitamin c,Saturated fatty acid,Monounsaturated fatty acid,Polyunsaturated fatty acid,Cholesterol,Soluble dietary fiber,Insoluble dietary fiber,Dietary fiber,Salt equivalents,Weight change rate,Created at,Updated at
1665,17077,"
      [食品番号]食品群名/食品名：[17077] 調味料及び香辛料類/バジル/粉
    ",0.0,307.0,1284.0,10.9,21.1,0.0,2.2,0.0,50.6,15.2,59.0,3100.0,2800.0,760.0,330.0,120.0,3.9,1.99,10.0,42.0,18.0,47.0,200.0,0.0,0.0,2400.0,61.0,2500.0,210.0,0.0,4.7,0.2,0.7,0.0,820.0,0.26,1.09,7.9,1.75,0.0,290.0,2.39,61.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,2015-08-30 07:12:41 UTC,2015-08-30 07:12:41 UTC
1664,17076,"
      [食品番号]食品群名/食品名：[17076] 調味料及び香辛料類/にんにく/おろし
    ",0.0,171.0,715.0,52.1,4.7,0.0,0.5,0.0,37.0,5.7,1800.0,440.0,22.0,22.0,100.0,0.7,0.5,0.09,0.16,3.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.04,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,,2015-08-30 07:12:40 UTC,2015-08-30 07:12:40 UTC
1663,17075,"
      [食品番号]食品群名/食品名：[17075] 調味料及び香辛料類/にんにく/ガーリックパウダー
    ",0.0,382.0,1598.0,3.5,19.9,0.0,0.8,0.4,73.8,2.0,18.0,390.0,100.0,90.0,300.0,6.6,2.5,0.57,1.17,1.0,10.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.0,1.0,0.54,0.15,1.0,2.32,0.0,30.0,1.33,3.5,0.0,0.1,0.04,0.22,2.0,0.0,0.0,0.0,0.0,,2015-08-30 07:12:40 UTC,2015-08-30 07:12:40 UTC
1662,17074,"
      [食品番号]食品群名/食品名：[17074] 調味料及び香辛料類/ナツメグ/粉
    ",0.0,559.0,2339.0,6.3,5.7,0.0,38.5,0.0,47.5,2.0,15.0,430.0,160.0,180.0,210.0,2.5,1.3,1.2,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2015-08-30 07:12:39 UTC,2015-08-30 07:12:39 UTC
1661,17073,"
      [食品番号]食品群名/食品名：[17073] 調味料及び香辛料類/とうがらし/粉
    ",0.0,419.0,1753.0,1.7,16.2,0.0,9.7,0.0,66.8,5.6,4.0,2700.0,110.0,170.0,340.0,12.1,2.0,1.2,0.0,3.0,5.0,17.0,41.0,0.0,140.0,7200.0,2600.0,8600.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,1.15,11.3,0.0,0.0,0.0,0.0,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2015-08-30 07:12:39 UTC,2015-08-30 07:12:39 UTC
1660,17072,"
      [食品番号]食品群名/食品名：[17072] 調味料及び香辛料類/チリパウダー
    ",0.0,374.0,1565.0,3.8,15.0,0.0,8.2,0.0,60.1,12.9,2500.0,3000.0,280.0,210.0,260.0,29.3,2.2,1.0,1.62,0.0,0.0,0.0,0.0,0.0,300.0,7600.0,3100.0,9300.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.84,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,,2015-08-30 07:12:38 UTC,2015-08-30 07:12:38 UTC
1659,17071,"
      [食品番号]食品群名/食品名：[17071] 調味料及び香辛料類/タイム/粉
    ",0.0,352.0,1473.0,9.8,6.5,0.0,5.2,0.0,69.8,8.7,13.0,980.0,1700.0,300.0,85.0,110.0,2.0,0.57,6.67,0.0,0.0,0.0,0.0,0.0,0.0,980.0,0.0,980.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.69,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2015-08-30 07:12:38 UTC,2015-08-30 07:12:38 UTC
1658,17070,"
      [食品番号]食品群名/食品名：[17070] 調味料及び香辛料類/セージ/粉
    ",0.0,384.0,1607.0,9.2,6.4,0.0,10.1,0.0,66.9,7.4,120.0,1600.0,1500.0,270.0,100.0,50.0,3.3,0.53,2.85,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,1400.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.55,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,,2015-08-30 07:12:37 UTC,2015-08-30 07:12:37 UTC
1657,17069,"
      [食品番号]食品群名/食品名：[17069] 調味料及び香辛料類/しょうが/おろし
    ",0.0,43.0,180.0,88.2,0.7,0.0,0.6,0.0,8.6,1.9,580.0,140.0,16.0,17.0,14.0,0.3,0.1,0.04,3.58,0.0,1.0,1.0,1.0,0.0,2.0,6.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.8,0.0,0.0,0.0,0.0,0.3,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,,2015-08-30 07:12:36 UTC,2015-08-30 07:12:36 UTC
1656,17068,"
      [食品番号]食品群名/食品名：[17068] 調味料及び香辛料類/しょうが/粉
    ",0.0,365.0,1527.0,10.6,7.8,0.0,4.9,0.0,72.5,4.2,31.0,1400.0,110.0,300.0,150.0,14.1,1.7,0.57,28.0,1.0,3.0,6.0,11.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.17,4.2,1.03,0.0,0.0,1.29,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,2015-08-30 07:12:36 UTC,2015-08-30 07:12:36 UTC
1655,17067,"
      [食品番号]食品群名/食品名：[17067] 調味料及び香辛料類/シナモン/粉
    ",0.0,364.0,1523.0,9.4,3.6,0.0,3.5,0.0,79.6,3.9,23.0,550.0,1200.0,87.0,50.0,7.1,0.9,0.49,41.0,6.0,3.0,14.0,3.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.14,1.3,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,2015-08-30 07:12:35 UTC,2015-08-30 07:12:35 UTC
